Table 1
Returned,Order ID,,,
Yes,CA-2018-100762,,,
Yes,CA-2018-100762,,,
Yes,CA-2018-100762,,,
Yes,CA-2018-100762,,,
Yes,CA-2018-100867,,,
Yes,CA-2018-102652,,,
Yes,CA-2018-102652,,,
Yes,CA-2018-102652,,,
Yes,CA-2018-102652,,,
Yes,CA-2018-103373,,,
Yes,CA-2018-103744,,,
Yes,CA-2018-103744,,,
Yes,CA-2018-103940,,,
Yes,CA-2018-103940,,,
Yes,CA-2018-103940,,,
Yes,CA-2018-103940,,,
Yes,CA-2018-104829,,,
Yes,CA-2018-105270,,,
Yes,CA-2018-105270,,,
Yes,CA-2018-108609,,,
Yes,CA-2018-108861,,,
Yes,CA-2018-109918,,,
Yes,CA-2018-109918,,,
Yes,CA-2018-109918,,,
Yes,CA-2018-110786,,,
Yes,CA-2018-110786,,,
Yes,CA-2018-110786,,,
Yes,CA-2018-110786,,,
Yes,CA-2018-110786,,,
Yes,CA-2018-110786,,,
Yes,CA-2018-110786,,,
Yes,CA-2018-111871,,,
Yes,CA-2018-116785,,,
Yes,CA-2018-116785,,,
Yes,CA-2018-123225,,,
Yes,CA-2018-123225,,,
Yes,CA-2018-123253,,,
Yes,CA-2018-123498,,,
Yes,CA-2018-123498,,,
Yes,CA-2018-124688,,,
Yes,CA-2018-124688,,,
Yes,CA-2018-124688,,,
Yes,CA-2018-126361,,,
Yes,CA-2018-126361,,,
Yes,CA-2018-126361,,,
Yes,CA-2018-126361,,,
Yes,CA-2018-126361,,,
Yes,CA-2018-126361,,,
Yes,CA-2018-126403,,,
Yes,CA-2018-126403,,,
Yes,CA-2018-126403,,,
Yes,CA-2018-126403,,,
Yes,CA-2018-126522,,,
Yes,CA-2018-127012,,,
Yes,CA-2018-127012,,,
Yes,CA-2018-127012,,,
Yes,CA-2018-127131,,,
Yes,CA-2018-127131,,,
Yes,CA-2018-127131,,,
Yes,CA-2018-127131,,,
Yes,CA-2018-133690,,,
Yes,CA-2018-133690,,,
Yes,CA-2018-134726,,,
Yes,CA-2018-134726,,,
Yes,CA-2018-135657,,,
Yes,CA-2018-135699,,,
Yes,CA-2018-135699,,,
Yes,CA-2018-140816,,,
Yes,CA-2018-141726,,,
Yes,CA-2018-141726,,,
Yes,CA-2018-141726,,,
Yes,CA-2018-141726,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-142769,,,
Yes,CA-2018-143336,,,
Yes,CA-2018-143336,,,
Yes,CA-2018-143336,,,
Yes,CA-2018-143840,,,
Yes,CA-2018-143840,,,
Yes,CA-2018-148614,,,
Yes,CA-2018-148614,,,
Yes,CA-2018-148950,,,
Yes,CA-2018-148950,,,
Yes,CA-2018-148950,,,
Yes,CA-2018-151162,,,
Yes,CA-2018-151162,,,
Yes,CA-2018-151162,,,
Yes,CA-2018-151162,,,
Yes,CA-2018-151162,,,
Yes,CA-2018-152345,,,
Yes,CA-2018-152345,,,
Yes,CA-2018-153150,,,
Yes,CA-2018-156349,,,
Yes,CA-2018-156349,,,
Yes,CA-2018-156349,,,
Yes,CA-2018-157924,,,
Yes,CA-2018-157924,,,
Yes,CA-2018-159338,,,
Yes,CA-2018-160766,,,
Yes,CA-2018-160766,,,
Yes,CA-2018-160766,,,
Yes,CA-2018-160766,,,
Yes,CA-2018-160766,,,
Yes,CA-2018-160766,,,
Yes,CA-2018-160766,,,
Yes,CA-2018-160773,,,
Yes,CA-2018-160773,,,
Yes,CA-2018-164721,,,
Yes,CA-2018-164721,,,
Yes,CA-2018-164721,,,
Yes,CA-2018-164861,,,
Yes,CA-2018-166744,,,
Yes,CA-2018-166744,,,
Yes,CA-2018-166744,,,
Yes,CA-2018-169019,,,
Yes,CA-2018-169019,,,
Yes,CA-2018-169019,,,
Yes,CA-2018-169019,,,
Yes,CA-2018-169019,,,
Yes,CA-2018-169019,,,
Yes,CA-2019-101910,,,
Yes,CA-2019-103716,,,
Yes,CA-2019-103716,,,
Yes,CA-2019-104129,,,
Yes,CA-2019-104129,,,
Yes,CA-2019-105158,,,
Yes,CA-2019-105158,,,
Yes,CA-2019-107678,,,
Yes,CA-2019-107678,,,
Yes,CA-2019-107678,,,
Yes,CA-2019-107678,,,
Yes,CA-2019-109736,,,
Yes,CA-2019-110814,,,
Yes,CA-2019-110814,,,
Yes,CA-2019-110814,,,
Yes,CA-2019-111948,,,
Yes,CA-2019-111948,,,
Yes,CA-2019-112144,,,
Yes,CA-2019-112144,,,
Yes,CA-2019-113628,,,
Yes,CA-2019-113628,,,
Yes,CA-2019-113628,,,
Yes,CA-2019-113628,,,
Yes,CA-2019-113628,,,
Yes,CA-2019-113628,,,
Yes,CA-2019-114048,,,
Yes,CA-2019-116092,,,
Yes,CA-2019-116092,,,
Yes,CA-2019-116092,,,
Yes,CA-2019-116092,,,
Yes,CA-2019-116092,,,
Yes,CA-2019-119214,,,
Yes,CA-2019-119214,,,
Yes,CA-2019-119907,,,
Yes,CA-2019-123568,,,
Yes,CA-2019-123568,,,
Yes,CA-2019-123568,,,
Yes,CA-2019-123568,,,
Yes,CA-2019-124058,,,
Yes,CA-2019-124058,,,
Yes,CA-2019-130456,,,
Yes,CA-2019-130456,,,
Yes,CA-2019-130785,,,
Yes,CA-2019-130785,,,
Yes,CA-2019-130785,,,
Yes,CA-2019-132374,,,
Yes,CA-2019-132941,,,
Yes,CA-2019-132941,,,
Yes,CA-2019-132941,,,
Yes,CA-2019-134075,,,
Yes,CA-2019-134075,,,
Yes,CA-2019-134201,,,
Yes,CA-2019-134201,,,
Yes,CA-2019-135580,,,
Yes,CA-2019-135580,,,
Yes,CA-2019-135580,,,
Yes,CA-2019-135580,,,
Yes,CA-2019-135580,,,
Yes,CA-2019-138674,,,
Yes,CA-2019-138674,,,
Yes,CA-2019-138674,,,
Yes,CA-2019-139731,,,
Yes,CA-2019-139731,,,
Yes,CA-2019-140984,,,
Yes,CA-2019-140984,,,
Yes,CA-2019-140984,,,
Yes,CA-2019-141593,,,
Yes,CA-2019-141593,,,
Yes,CA-2019-141593,,,
Yes,CA-2019-141593,,,
Yes,CA-2019-142601,,,
Yes,CA-2019-142601,,,
Yes,CA-2019-143238,,,
Yes,CA-2019-143490,,,
Yes,CA-2019-143490,,,
Yes,CA-2019-143602,,,
Yes,CA-2019-144267,,,
Yes,CA-2019-144267,,,
Yes,CA-2019-144267,,,
Yes,CA-2019-144267,,,
Yes,CA-2019-146255,,,
Yes,CA-2019-146255,,,
Yes,CA-2019-146255,,,
Yes,CA-2019-146255,,,
Yes,CA-2019-146262,,,
Yes,CA-2019-146262,,,
Yes,CA-2019-146262,,,
Yes,CA-2019-146262,,,
Yes,CA-2019-146262,,,
Yes,CA-2019-146486,,,
Yes,CA-2019-146486,,,
Yes,CA-2019-146486,,,
Yes,CA-2019-146486,,,
Yes,CA-2019-148873,,,
Yes,CA-2019-148873,,,
Yes,CA-2019-149342,,,
Yes,CA-2019-149342,,,
Yes,CA-2019-149342,,,
Yes,CA-2019-149636,,,
Yes,CA-2019-149636,,,
Yes,CA-2019-149650,,,
Yes,CA-2019-150770,,,
Yes,CA-2019-150770,,,
Yes,CA-2019-150770,,,
Yes,CA-2019-150770,,,
Yes,CA-2019-150875,,,
Yes,CA-2019-150875,,,
Yes,CA-2019-151547,,,
Yes,CA-2019-153220,,,
Yes,CA-2019-154970,,,
Yes,CA-2019-155761,,,
Yes,CA-2019-155761,,,
Yes,CA-2019-156440,,,
Yes,CA-2019-157770,,,
Yes,CA-2019-157770,,,
Yes,CA-2019-157770,,,
Yes,CA-2019-157770,,,
Yes,CA-2019-157812,,,
Yes,CA-2019-157812,,,
Yes,CA-2019-157812,,,
Yes,CA-2019-161627,,,
Yes,CA-2019-162166,,,
Yes,CA-2019-162166,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-164882,,,
Yes,CA-2019-168480,,,
Yes,CA-2019-168480,,,
Yes,CA-2019-168564,,,
Yes,CA-2019-168564,,,
Yes,CA-2019-168564,,,
Yes,CA-2019-169397,,,
Yes,CA-2019-169397,,,
Yes,CA-2019-169397,,,
Yes,CA-2019-169397,,,
Yes,CA-2019-169397,,,
Yes,CA-2019-169397,,,
Yes,CA-2020-104689,,,
Yes,CA-2020-105081,,,
Yes,CA-2020-105081,,,
Yes,CA-2020-105291,,,
Yes,CA-2020-105585,,,
Yes,CA-2020-105585,,,
Yes,CA-2020-106950,,,
Yes,CA-2020-106950,,,
Yes,CA-2020-106950,,,
Yes,CA-2020-106950,,,
Yes,CA-2020-106950,,,
Yes,CA-2020-106950,,,
Yes,CA-2020-109806,,,
Yes,CA-2020-109806,,,
Yes,CA-2020-109806,,,
Yes,CA-2020-109869,,,
Yes,CA-2020-109869,,,
Yes,CA-2020-109869,,,
Yes,CA-2020-109869,,,
Yes,CA-2020-109869,,,
Yes,CA-2020-111682,,,
Yes,CA-2020-111682,,,
Yes,CA-2020-111682,,,
Yes,CA-2020-111682,,,
Yes,CA-2020-111682,,,
Yes,CA-2020-111682,,,
Yes,CA-2020-111682,,,
Yes,CA-2020-112123,,,
Yes,CA-2020-112123,,,
Yes,CA-2020-112123,,,
Yes,CA-2020-112340,,,
Yes,CA-2020-113341,,,
Yes,CA-2020-114307,,,
Yes,CA-2020-114307,,,
Yes,CA-2020-114307,,,
Yes,CA-2020-114307,,,
Yes,CA-2020-114727,,,
Yes,CA-2020-114727,,,
Yes,CA-2020-114727,,,
Yes,CA-2020-114727,,,
Yes,CA-2020-114727,,,
Yes,CA-2020-115917,,,
Yes,CA-2020-115917,,,
Yes,CA-2020-116547,,,
Yes,CA-2020-116547,,,
Yes,CA-2020-116736,,,
Yes,CA-2020-116736,,,
Yes,CA-2020-116736,,,
Yes,CA-2020-118311,,,
Yes,CA-2020-118500,,,
Yes,CA-2020-118899,,,
Yes,CA-2020-120873,,,
Yes,CA-2020-123526,,,
Yes,CA-2020-124527,,,
Yes,CA-2020-126529,,,
Yes,CA-2020-126529,,,
Yes,CA-2020-126529,,,
Yes,CA-2020-126732,,,
Yes,CA-2020-126732,,,
Yes,CA-2020-126732,,,
Yes,CA-2020-126732,,,
Yes,CA-2020-126732,,,
Yes,CA-2020-126732,,,
Yes,CA-2020-128671,,,
Yes,CA-2020-128671,,,
Yes,CA-2020-128671,,,
Yes,CA-2020-130477,,,
Yes,CA-2020-130477,,,
Yes,CA-2020-130477,,,
Yes,CA-2020-130638,,,
Yes,CA-2020-130638,,,
Yes,CA-2020-130680,,,
Yes,CA-2020-133319,,,
Yes,CA-2020-133368,,,
Yes,CA-2020-133368,,,
Yes,CA-2020-133802,,,
Yes,CA-2020-134775,,,
Yes,CA-2020-134775,,,
Yes,CA-2020-134803,,,
Yes,CA-2020-134803,,,
Yes,CA-2020-134803,,,
Yes,CA-2020-134803,,,
Yes,CA-2020-134803,,,
Yes,CA-2020-136483,,,
Yes,CA-2020-136924,,,
Yes,CA-2020-138282,,,
Yes,CA-2020-139269,,,
Yes,CA-2020-139269,,,
Yes,CA-2020-139269,,,
Yes,CA-2020-142398,,,
Yes,CA-2020-142398,,,
Yes,CA-2020-145261,,,
Yes,CA-2020-145261,,,
Yes,CA-2020-145261,,,
Yes,CA-2020-145261,,,
Yes,CA-2020-145261,,,
Yes,CA-2020-145261,,,
Yes,CA-2020-145261,,,
Yes,CA-2020-145492,,,
Yes,CA-2020-145583,,,
Yes,CA-2020-145583,,,
Yes,CA-2020-145583,,,
Yes,CA-2020-145583,,,
Yes,CA-2020-145583,,,
Yes,CA-2020-145583,,,
Yes,CA-2020-145583,,,
Yes,CA-2020-145919,,,
Yes,CA-2020-145919,,,
Yes,CA-2020-145919,,,
Yes,CA-2020-145982,,,
Yes,CA-2020-145982,,,
Yes,CA-2020-145982,,,
Yes,CA-2020-145982,,,
Yes,CA-2020-145982,,,
Yes,CA-2020-145982,,,
Yes,CA-2020-147375,,,
Yes,CA-2020-147375,,,
Yes,CA-2020-148796,,,
Yes,CA-2020-150077,,,
Yes,CA-2020-151323,,,
Yes,CA-2020-151372,,,
Yes,CA-2020-151372,,,
Yes,CA-2020-151372,,,
Yes,CA-2020-152814,,,
Yes,CA-2020-157280,,,
