gender,age,place,group,netTime,minutes,mph
M,30,1,M30-34 ,2:22:19,142.3166667,11.05369481
M,26,2,M25-29 ,2:27:02,147.0333333,10.69910451
M,32,3,M30-34 ,2:27:28,147.4666667,10.66766501
M,35,4,M35-39 ,2:39:20,159.35,9.872136806
M,26,5,M25-29 ,2:44:09,164.1666667,9.58248731
M,21,6,M18-24 ,2:45:35,169.7666667,9.266395052
M,42,7,M40-44 ,2:45:51,165.8666667,9.484274518
M,28,8,M25-29 ,2:48:12,168.4,9.341597387
M,41,9,M40-44 ,2:51:27,171.4833333,9.173632034
M,37,10,M35-39 ,2:52:00,172.05,9.143417611
M,33,11,M30-34 ,2:53:11,173.3666667,9.073976158
M,41,12,M40-44 ,2:53:30,173.5166667,9.066131976
M,35,13,M35-39 ,2:53:39,173.6666667,9.058301344
M,25,14,M25-29 ,2:53:47,173.8,9.051352129
M,32,15,M30-34 ,2:53:56,173.9833333,9.04181435
M,27,16,M25-29 ,2:54:06,174.1666667,9.032296651
F,37,17,F35-39 ,2:54:19,174.3166667,9.024524333
M,38,18,M35-39 ,2:54:32,174.6,9.009879725
M,26,19,M25-29 ,2:55:40,206.3166667,7.624808143
M,42,20,M40-44 ,2:56:08,176.1833333,8.92890928
M,37,21,M35-39 ,2:56:10,176.3166667,8.922157104
M,51,22,M50-54 ,2:57:08,177.2166667,8.876845669
M,42,23,M40-44 ,2:57:30,177.8166667,8.846892867
M,31,24,M30-34 ,2:57:33,177.65,8.855192795
M,31,25,M30-34 ,2:57:58,178.05,8.835299073
M,37,26,M35-39 ,2:58:08,178.45,8.815494536
M,18,27,M18-24 ,2:58:44,194.5333333,8.086660384
F,22,28,F18-24 ,2:59:07,179.1166667,8.78268354
M,39,29,M35-39 ,2:59:24,179.4833333,8.764741387
M,41,30,M40-44 ,2:59:33,179.6,8.759047884
M,22,31,M18-24 ,2:59:39,179.8166667,8.748493836
M,29,32,M25-29 ,3:01:22,182.0166667,8.642752495
M,30,33,M30-34 ,3:01:52,181.9,8.648295767
M,30,34,M30-34 ,3:01:56,182.3333333,8.62774223
M,33,35,M30-34 ,3:02:10,182.25,8.631687243
M,24,36,M18-24 ,3:02:12,182.2166667,8.633266258
M,24,37,M18-24 ,3:03:12,183.2333333,8.585364744
M,31,38,M30-34 ,3:03:46,183.8333333,8.557343608
M,28,39,M25-29 ,3:03:46,183.9,8.554241436
M,34,40,M30-34 ,3:03:58,183.9833333,8.550366881
M,38,41,M35-39 ,3:04:27,184.6333333,8.520265391
M,31,42,M30-34 ,3:05:03,185.0666667,8.500315202
M,45,43,M45-49 ,3:05:04,185.1166667,8.498019267
M,37,44,M35-39 ,3:06:02,186.25,8.446308725
M,47,45,M45-49 ,3:06:49,186.8833333,8.41768483
M,49,46,M45-49 ,3:07:32,187.5333333,8.38850871
M,33,47,M30-34 ,3:07:56,218.6166667,7.195814592
M,52,48,M50-54 ,3:07:57,188.1666667,8.360274579
M,39,49,M35-39 ,3:08:07,188.3166667,8.353615364
M,38,50,M35-39 ,3:08:21,188.3666667,8.351397983
M,39,51,M35-39 ,3:08:22,188.6833333,8.337381857
M,34,52,M30-34 ,3:08:22,188.3833333,8.350659117
M,27,53,M25-29 ,3:08:23,188.4166667,8.349181778
M,43,54,M40-44 ,3:08:56,188.95,8.325615242
M,29,55,M25-29 ,3:09:23,189.4,8.305834213
M,42,56,M40-44 ,3:09:40,189.7666667,8.289785702
M,50,57,M50-54 ,3:09:41,189.9,8.283965245
M,50,58,M50-54 ,3:09:44,189.8333333,8.286874451
M,31,59,M30-34 ,3:10:16,190.4,8.262211134
M,38,60,M35-39 ,3:10:49,190.8666667,8.242010129
M,29,61,M25-29 ,3:11:57,194.25,8.098455598
F,44,62,F40-44 ,3:12:28,192.4666667,8.173493246
M,31,63,M30-34 ,3:12:32,192.5833333,8.168541757
M,32,64,M30-34 ,3:12:34,192.6833333,8.164302396
M,42,65,M40-44 ,3:12:52,193.0333333,8.149499223
M,42,66,M40-44 ,3:13:31,193.8166667,8.116562043
M,42,67,M40-44 ,3:13:58,194.05,8.106802371
M,41,68,M40-44 ,3:14:16,194.85,8.073518091
M,41,69,M40-44 ,3:14:21,194.6,8.083890031
F,31,70,F30-34 ,3:14:36,194.6666667,8.081121575
M,23,71,M18-24 ,3:14:46,194.8833333,8.072137176
M,42,72,M40-44 ,3:15:05,195.2166667,8.058353966
M,22,73,M18-24 ,3:15:17,197.5,7.965189873
M,44,74,M40-44 ,3:15:17,195.35,8.052853852
M,23,75,M18-24 ,3:15:27,195.5333333,8.045303444
M,40,76,M40-44 ,3:15:45,195.9166667,8.029561889
M,41,77,M40-44 ,3:15:54,195.9666667,8.027513183
M,33,78,M30-34 ,3:15:55,195.9833333,8.026830513
M,47,79,M45-49 ,3:15:56,196.0166667,8.025465522
M,32,80,M30-34 ,3:16:29,196.6166667,8.000974824
M,35,81,M35-39 ,3:16:36,196.9666667,7.986757489
M,39,82,M35-39 ,3:16:49,196.8666667,7.990814426
M,41,83,M40-44 ,3:16:50,201.6,7.803199405
M,50,84,M50-54 ,3:16:55,197.1,7.981354642
M,45,85,M45-49 ,3:17:04,197.0666667,7.982704668
F,28,86,F25-29 ,3:17:14,197.45,7.967206888
M,34,87,M30-34 ,3:17:20,197.35,7.971243983
M,41,88,M40-44 ,3:17:37,200.6833333,7.838842289
F,31,89,F30-34 ,3:17:57,198,7.945075758
M,34,90,M30-34 ,3:18:09,198.4666667,7.926394021
M,44,91,M40-44 ,3:18:20,198.4,7.92905746
M,20,92,M18-24 ,3:18:43,198.8,7.913103622
M,39,93,M35-39 ,3:18:56,199.1333333,7.899857717
M,47,94,M45-49 ,3:19:18,199.4166667,7.888633514
M,39,95,M35-39 ,3:19:25,199.4833333,7.885997159
M,30,96,M30-34 ,3:19:26,199.8166667,7.872841772
M,25,97,M25-29 ,3:19:27,199.5166667,7.884679642
F,39,98,F35-39 ,3:19:28,199.75,7.875469337
M,46,99,M45-49 ,3:19:28,199.6,7.881387776
M,42,100,M40-44 ,3:19:28,199.5166667,7.884679642
M,34,101,M30-34 ,3:19:29,199.7666667,7.874812281
M,46,102,M45-49 ,3:19:53,199.95,7.867591898
M,20,103,M18-24 ,3:19:56,200.2833333,7.854497795
M,49,104,M45-49 ,3:20:06,200.25,7.855805243
M,33,105,M30-34 ,3:20:07,200.1666667,7.85907577
M,32,106,M30-34 ,3:20:08,200.2666667,7.855151465
M,29,107,M25-29 ,3:20:11,200.3666667,7.851231076
F,35,108,F35-39 ,3:20:23,200.8,7.834287849
M,44,109,M40-44 ,3:20:24,200.5166667,7.845357826
M,41,110,M40-44 ,3:20:45,201.1166667,7.821952432
M,32,111,M30-34 ,3:20:49,200.8333333,7.832987552
M,37,112,M35-39 ,3:20:58,201.1333333,7.821304276
M,44,113,M40-44 ,3:21:18,201.5333333,7.805780681
M,53,114,M50-54 ,3:21:19,201.3833333,7.811594803
M,45,115,M45-49 ,3:21:26,201.6333333,7.801909407
M,44,116,M40-44 ,3:21:29,201.6833333,7.799975209
M,45,117,M45-49 ,3:21:52,201.9333333,7.790318587
M,27,118,M25-29 ,3:22:00,202.0833333,7.784536082
M,54,119,M50-54 ,3:22:22,202.6333333,7.76340681
M,26,120,M25-29 ,3:22:23,226.6166667,6.94178863
M,28,121,M25-29 ,3:22:48,202.9666667,7.750656922
M,40,122,M40-44 ,3:22:58,203.3833333,7.734778333
M,30,123,M30-34 ,3:23:01,211.3833333,7.442048411
F,43,124,F40-44 ,3:23:35,203.85,7.717071376
M,39,125,M35-39 ,3:23:45,203.8333333,7.717702371
M,35,126,M35-39 ,3:24:03,232.7333333,6.75934546
M,31,127,M30-34 ,3:24:07,204.2166667,7.703215539
M,44,128,M40-44 ,3:24:09,204.4833333,7.693169777
F,43,129,F40-44 ,3:24:13,204.25,7.701958384
M,40,130,M40-44 ,3:24:28,204.7166667,7.684401205
M,22,131,M18-24 ,3:24:30,204.5833333,7.689409369
M,28,132,M25-29 ,3:24:33,204.8333333,7.68002441
M,49,133,M45-49 ,3:24:33,204.6666667,7.686278502
M,50,134,M50-54 ,3:24:35,204.7166667,7.684401205
F,34,135,F30-34 ,3:24:39,204.9166667,7.676901179
M,59,136,M55-59 ,3:24:40,204.8,7.681274414
M,34,137,M30-34 ,3:24:41,204.9833333,7.674404423
F,38,138,F35-39 ,3:24:43,204.8166667,7.680649361
M,33,139,M30-34 ,3:24:44,209.2166667,7.519118936
M,43,140,M40-44 ,3:24:45,209.25,7.517921147
M,41,141,M40-44 ,3:24:48,204.8333333,7.68002441
M,38,142,M35-39 ,3:24:57,205,7.673780488
M,35,143,M35-39 ,3:25:11,205.2666667,7.663811302
F,41,144,F40-44 ,3:25:11,205.2333333,7.665056034
M,26,145,M25-29 ,3:25:13,242.5333333,6.486221825
F,23,146,F18-24 ,3:25:28,205.6,7.651386187
M,27,147,M25-29 ,3:25:29,205.55,7.653247385
F,32,148,F30-34 ,3:25:40,205.7,7.647666505
M,59,149,M55-59 ,3:25:43,205.7666667,7.645188725
M,23,150,M18-24 ,3:25:43,207.95,7.564919452
M,42,151,M40-44 ,3:25:53,205.9166667,7.639619587
M,37,152,M35-39 ,3:26:11,206.35,7.623576448
M,45,153,M45-49 ,3:26:17,206.4166667,7.621114251
M,42,154,M40-44 ,3:26:17,207,7.599637681
M,55,155,M55-59 ,3:26:18,206.4333333,7.62049895
M,30,156,M30-34 ,3:26:20,206.35,7.623576448
M,49,157,M45-49 ,3:26:25,208.7833333,7.534724994
M,59,158,M55-59 ,3:26:55,207,7.599637681
F,41,159,F40-44 ,3:26:58,207.15,7.594134685
